track_genre,listen_count,avg_duration
acoustic,113,218980.2831858407
afrobeat,132,270540.0378787879
alt-rock,120,241160.425
alternative,54,207769.55555555556
ambient,125,206497.832
anime,116,214935.97413793104
black-metal,133,321903.07518796995
bluegrass,130,211591.23846153845
blues,137,216312.4890510949
brazil,107,280901.61682242993
breakbeat,119,323034.6386554622
british,107,229413.41121495326
cantopop,140,224011.4642857143
chicago-house,123,390683.081300813
children,146,139135.5890410959
chill,108,163641.86111111112
classical,106,205157.98113207548
club,128,208159.5234375
comedy,119,226784.76470588235
country,108,198513.67592592593
dance,107,202531.36448598132
dancehall,110,193632.72727272726
death-metal,128,244835.28125
deep-house,123,210866.17886178862
detroit-techno,112,361307.41071428574
disco,111,238907.7027027027
disney,141,164341.41134751774
drum-and-bass,118,267005.4576271186
dub,121,235185.64462809917
dubstep,36,227120.88888888888
edm,80,188804.9875
electro,86,195698.3488372093
electronic,118,213952.42372881356
emo,104,193809.24038461538
folk,101,266740.0693069307
forro,123,186907.86991869917
french,105,195713.24761904762
funk,85,215261.16470588234
garage,114,207781.41228070174
german,86,220459.03488372092
gospel,96,320562.0729166667
goth,112,256587.4642857143
grindcore,118,128449.86440677966
groove,88,257519.52272727274
grunge,97,232863.48453608248
guitar,118,244764.7711864407
happy,128,240950.5078125
hard-rock,83,237637.10843373495
hardcore,93,212250.4301075269
hardstyle,97,220739.8350515464
heavy-metal,127,250130.07086614173
hip-hop,101,212018.0099009901
honky-tonk,126,160925.42063492062
house,22,189567.04545454544
idm,125,260810.96
indian,99,250957.05050505052
indie,14,200617.14285714287
indie-pop,81,192206.9135802469
industrial,103,252481.66990291263
iranian,130,342905.54615384614
j-dance,127,198704.57480314962
j-idol,125,251014.856
j-pop,84,226100.82142857142
j-rock,43,244321.83720930232
jazz,64,166606.578125
k-pop,117,237784.7435897436
kids,130,164443.37692307692
latin,90,208818.24444444446
latino,49,210793.61224489796
malay,129,250324.9457364341
mandopop,129,247088.1085271318
metal,31,256298.1935483871
metalcore,85,230130.9411764706
minimal-techno,116,373936.7931034483
mpb,100,218981.86
new-age,131,295383.5038167939
opera,103,214643.81553398058
pagode,116,223385.08620689655
party,92,197130.47826086957
piano,102,201051.25490196078
pop,44,208031.25
pop-film,122,286470.68852459016
power-pop,111,191185.06306306308
progressive-house,100,200138.83
psych-rock,79,227856.15189873418
punk,21,222539.38095238095
punk-rock,90,229214.06666666668
r-n-b,67,199298.1791044776
reggae,33,198366.63636363635
reggaeton,10,218440.4
rock,40,222693.675
rock-n-roll,114,180557.86842105264
rockabilly,79,177494.27848101265
romance,108,196387.2314814815
sad,75,152539.98666666666
salsa,137,270041.43065693433
samba,83,232523.73493975904
sertanejo,110,205276.33636363636
show-tunes,118,210626.16101694916
singer-songwriter,67,196718.76119402985
ska,79,221617.53164556963
sleep,122,191316.49180327868
soul,55,211217.32727272727
spanish,110,237003.57272727272
study,134,143655.70895522388
swedish,96,208810.77083333334
synth-pop,87,251359.58620689655
tango,150,187249.4
techno,52,324191.1346153846
trance,89,280861.7303370786
trip-hop,124,272916.25
turkish,117,223529.5128205128
world-music,122,290056.1475409836
